Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_1,Day7,0.016577,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day14,10.4716,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day21,8.825876,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day28,56.63966,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day35,77.85953,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day42,89.49092,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day49,84.68372,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day56,52.14862,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day63,92.5013,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day70,128.0774,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day77,80.24887,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day84,79.37682,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day125,51.6893,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_1,Day139,29.7263,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day7,0.037463,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day14,3.005803,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day21,2.991009,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day28,12.01145,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day35,12.03274,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day42,8.744988,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day49,9.632133,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day56,9.12144,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day63,9.796851,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day70,10.82445,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day77,10.79922,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day84,9.081924,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_2,Day125,10.89659,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
