Days,1wk Exp-inc Prime/Bolus Boost Day 21,1wk Exp-dec Prime/Bolus Boost Day 21,Constant Prime/Bolus Boost Day 21,Bolus Prime/Bolus Boost Day 21,2wk Exp-inc Prime/Bolus Boost Day 28,Bolus Prime/Bolus Boost Day 28,2wk Exp-inc Prime/2wk Exp-inc Boost Day 28,Bolus Prime/2wk Exp-inc Boost Day 28,Bolus Prime/Bolus Boost Day 35,2wk Exp-inc Prime/Bolus Boost Day 35,3wk Exp-inc Prime/Bolus Boost Day 35
0,0.06,18.535,4.285,30,0.06,30,0.06,30,30,0.06,0.06
1,0.156,7.129,4.285,0,0,0,0,0,0,0,0
2,0.406,2.742,4.285,0,0.156,0,0.156,0,0,0.156,0
3,1.055,1.055,4.285,0,0,0,0,0,0,0,0.156
4,2.742,0.406,4.285,0,0.406,0,0.406,0,0,0.406,0
5,7.129,0.156,4.285,0,0,0,0,0,0,0,0
6,18.535,0.06,4.285,0,1.055,0,1.055,0,0,1.055,0.406
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,2.742,0,2.742,0,0,2.742,0
9,0,0,0,0,0,0,0,0,0,0,1.055
10,0,0,0,0,7.129,0,7.129,0,0,7.129,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,18.535,0,18.535,0,0,18.535,2.742
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,7.129
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,18.535
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,30,30,30,30,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,30,30,0.06,0.06,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0.156,0.156,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0.406,0.406,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,1.055,1.055,0,0,0
35,0,0,0,0,0,0,0,0,30,30,30
36,0,0,0,0,0,0,2.742,2.742,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,7.129,7.129,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,18.535,18.535,0,0,0
