Days,1wk Exp-inc Prime/Bolus Boost Day 21,1wk Exp-dec Prime/Bolus Boost Day 21,Constant Prime/Bolus Boost Day 21,Bolus Prime/Bolus Boost Day 21,2wk Exp-inc Prime/Bolus Boost Day 28,Bolus Prime/Bolus Boost Day 28,2wk Exp-inc Prime/2wk Exp-inc Boost Day 28,Bolus Prime/2wk Exp-inc Boost Day 28,Bolus Prime/Bolus Boost Day 35,2wk Exp-inc Prime/Bolus Boost Day 35,3wk Exp-inc Prime/Bolus Boost Day 35
1,0,0,0,0,0,0,0,0,0,0,0
2,0.006619333333,0.02528573333,0.03831716667,0.01827303333,0.09045517,0.08495535833,0.1026926333,0.7023306667,0.1286666667,0.01666666667,0.033125
3,0.01323866667,0.05057146667,0.07663433333,0.03654606667,0.18091034,0.1699107167,0.2053852667,1.404661333,0.2573333333,0.03333333333,0.06625
4,0.019858,0.0758572,0.1149515,0.0548191,0.27136551,0.254866075,0.3080779,2.106992,0.386,0.05,0.099375
5,0.02647733333,0.1011429333,0.1532686667,0.07309213333,0.36182068,0.3398214333,0.4107705333,2.809322667,0.5146666667,0.06666666667,0.1325
6,0.03309666667,0.1264286667,0.1915858333,0.09136516667,0.45227585,0.4247767917,0.5134631667,3.511653333,0.6433333333,0.08333333333,0.165625
7,0.039716,0.1517144,0.229903,0.1096382,0.54273102,0.50973215,0.6161558,4.213984,0.772,0.1,0.19875
8,1.115118343,0.2481606857,0.8044062286,0.1899105429,5.017724752,0.558357554,15.23988669,6.3068258,0.8011428571,0.2688571429,0.255
9,2.190520686,0.3446069714,1.378909457,0.2701828857,9.492718484,0.6069829579,29.86361757,8.3996676,0.8302857143,0.4377142857,0.31125
10,3.265923029,0.4410532571,1.953412686,0.3504552286,13.96771222,0.6556083619,44.48734846,10.4925094,0.8594285714,0.6065714286,0.3675
11,4.341325371,0.5374995429,2.527915914,0.4307275714,18.44270595,0.7042337659,59.11107934,12.5853512,0.8885714286,0.7754285714,0.42375
12,5.416727714,0.6339458286,3.102419143,0.5109999143,22.91769968,0.7528591698,73.73481023,14.678193,0.9177142857,0.9442857143,0.48
13,6.492130057,0.7303921143,3.676922371,0.5912722571,27.39269341,0.8014845738,88.35854111,16.7710348,0.9468571429,1.113142857,0.53625
14,7.5675324,0.8268384,4.2514256,0.6715446,31.86768714,0.8501099778,102.982272,18.8638766,0.976,1.282,0.5925
15,7.165741286,0.8062600571,4.007902771,0.6593255714,33.06973959,0.8022050952,104.0953994,18.39797366,0.9582857143,1.7,1.012107143
16,6.763950171,0.7856817143,3.764379943,0.6471065429,34.27179204,0.7543002127,105.2085269,17.93207071,0.9405714286,2.118,1.431714286
17,6.362159057,0.7651033714,3.520857114,0.6348875143,35.47384449,0.7063953302,106.3216543,17.46616777,0.9228571429,2.536,1.851321429
18,5.960367943,0.7445250286,3.277334286,0.6226684857,36.67589694,0.6584904476,107.4347817,17.00026483,0.9051428571,2.954,2.270928571
19,5.558576829,0.7239466857,3.033811457,0.6104494571,37.87794939,0.6105855651,108.5479091,16.53436189,0.8874285714,3.372,2.690535714
20,5.156785714,0.7033683429,2.790288629,0.5982304286,39.08000184,0.5626806825,109.6610366,16.06845894,0.8697142857,3.79,3.110142857
21,4.7549946,0.68279,2.5467658,0.5860114,40.28205429,0.5147758,110.774164,15.602556,0.852,4.208,3.52975
22,8.212684514,1.701460086,3.954243829,1.262633571,38.5839741,0.5151766114,100.5839697,16.00861177,0.9358571429,7.238428571,4.934107143
23,11.67037443,2.720130171,5.361721857,1.939255743,36.88589392,0.5155774229,90.39377543,16.41466754,1.019714286,10.26885714,6.338464286
24,15.12806434,3.738800257,6.769199886,2.615877914,35.18781373,0.5159782343,80.20358114,16.82072331,1.103571429,13.29928571,7.742821429
25,18.58575426,4.757470343,8.176677914,3.292500086,33.48973355,0.5163790457,70.01338686,17.22677909,1.187428571,16.32971429,9.147178571
26,22.04344417,5.776140429,9.584155943,3.969122257,31.79165337,0.5167798571,59.82319257,17.63283486,1.271285714,19.36014286,10.55153571
27,25.50113409,6.794810514,10.99163397,4.645744429,30.09357318,0.5171806686,49.63299829,18.03889063,1.355142857,22.39057143,11.95589286
28,28.958824,7.8134806,12.399112,5.3223666,28.395493,0.51758148,39.442804,18.4449464,1.439,25.421,13.36025
29,29.38831229,7.935285657,12.57967357,5.726558371,43.66042614,1.917982369,39.37232143,18.60286549,1.412714286,22.44514286,13.11057143
30,29.81780057,8.057090714,12.76023514,6.130750143,58.92535929,3.318383257,39.30183886,18.76078457,1.386428571,19.46928571,12.86089286
31,30.24728886,8.178895771,12.94079671,6.534941914,74.19029243,4.718784146,39.23135629,18.91870366,1.360142857,16.49342857,12.61121429
32,30.67677714,8.300700829,13.12135829,6.939133686,89.45522557,6.119185034,39.16087371,19.07662274,1.333857143,13.51757143,12.36153571
33,31.10626543,8.422505886,13.30191986,7.343325457,104.7201587,7.519585923,39.09039114,19.23454183,1.307571429,10.54171429,12.11185714
34,31.53575371,8.544310943,13.48248143,7.747517229,119.9850919,8.919986811,39.01990857,19.39246091,1.281285714,7.565857143,11.86217857
35,31.965242,8.666116,13.663043,8.151709,135.250025,10.3203877,38.949426,19.55038,1.255,4.59,11.6125
36,32.42367423,8.666888086,13.39900757,8.315149229,135.9825494,11.66039186,132.4246651,30.89169371,4.400285714,34.95371429,17.26860714
37,32.88210646,8.667660171,13.13497214,8.478589457,136.7150738,13.00039602,225.8999043,42.23300743,7.545571429,65.31742857,22.92471429
38,33.34053869,8.668432257,12.87093671,8.642029686,137.4475982,14.34040018,319.3751434,53.57432114,10.69085714,95.68114286,28.58082143
39,33.79897091,8.669204343,12.60690129,8.805469914,138.1801226,15.68040433,412.8503826,64.91563486,13.83614286,126.0448571,34.23692857
40,34.25740314,8.669976429,12.34286586,8.968910143,138.9126469,17.02040849,506.3256217,76.25694857,16.98142857,156.4085714,39.89303571
41,34.71583537,8.670748514,12.07883043,9.132350371,139.6451713,18.36041265,599.8008609,87.59826229,20.12671429,186.7722857,45.54914286
42,35.1742676,8.6715206,11.814795,9.2957906,140.3776957,19.70041681,693.2761,98.939576,23.272,217.136,51.20525
43,34.65774194,8.763957314,12.26630143,9.372126371,139.7714269,19.88535015,685.0593486,112.99533,23.49842857,304.8345714,64.43539286
44,34.14121629,8.856394029,12.71780786,9.448462143,139.165158,20.07028349,676.8425971,127.051084,23.72485714,392.5331429,77.66553571
45,33.62469063,8.948830743,13.16931429,9.524797914,138.5588892,20.25521683,668.6258457,141.106838,23.95128571,480.2317143,90.89567857
46,33.10816497,9.041267457,13.62082071,9.601133686,137.9526203,20.44015018,660.4090943,155.162592,24.17771429,567.9302857,104.1258214
47,32.59163931,9.133704171,14.07232714,9.677469457,137.3463515,20.62508352,652.1923429,169.218346,24.40414286,655.6288571,117.3559643
48,32.07511366,9.226140886,14.52383357,9.753805229,136.7400826,20.81001686,643.9755914,183.2741,24.63057143,743.3274286,130.5861071
49,31.558588,9.3185776,14.97534,9.830141,136.1338138,20.9949502,635.75884,197.329854,24.857,831.026,143.81625
50,30.13269354,9.653400829,14.89490277,9.893697714,146.6635111,22.33485042,610.9245457,191.287424,25.59171429,783.3585714,145.7004643
51,28.70679909,9.988224057,14.81446554,9.957254429,157.1932084,23.67475064,586.0902514,185.244994,26.32642857,735.6911429,147.5846786
52,27.28090463,10.32304729,14.73402831,10.02081114,167.7229057,25.01465086,561.2559571,179.202564,27.06114286,688.0237143,149.4688929
53,25.85501017,10.65787051,14.65359109,10.08436786,178.252603,26.35455109,536.4216629,173.160134,27.79585714,640.3562857,151.3531071
54,24.42911571,10.99269374,14.57315386,10.14792457,188.7823004,27.69445131,511.5873686,167.117704,28.53057143,592.6888571,153.2373214
55,23.00322126,11.32751697,14.49271663,10.21148129,199.3119977,29.03435153,486.7530743,161.075274,29.26528571,545.0214286,155.1215357
56,21.5773268,11.6623402,14.4122794,10.275038,209.841695,30.37425175,461.91878,155.032844,30,497.354,157.00575
